open;high;low;close;volume;time;datetime;Time2;fvg_bearish;fvg_bullish;fvg_bearish_high;fvg_bearish_low;fvg_bullish_high;fvg_bullish_low
0.0079851;0.0079895;0.0079683;0.0079703;8462310.0;1714078980000;2024-04-25 21:03:00+00:00;2024-04-25 21:03:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079693;0.0079697;0.0079246;0.0079394;11659926.0;1714079160000;2024-04-25 21:06:00+00:00;2024-04-25 21:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079427;0.0079795;0.0079312;0.0079711;7123281.0;1714079340000;2024-04-25 21:09:00+00:00;2024-04-25 21:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079712;0.007993;0.0079671;0.0079792;3545199.0;1714079520000;2024-04-25 21:12:00+00:00;2024-04-25 21:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079791;0.007996;0.007973;0.0079899;12462135.0;1714079700000;2024-04-25 21:15:00+00:00;2024-04-25 21:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.00799;0.0080048;0.0079522;0.0079647;7287437.0;1714079880000;2024-04-25 21:18:00+00:00;2024-04-25 21:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079646;0.0080133;0.0079641;0.0079868;3098912.0;1714080060000;2024-04-25 21:21:00+00:00;2024-04-25 21:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079867;0.0079957;0.0079672;0.007989;5219084.0;1714080240000;2024-04-25 21:24:00+00:00;2024-04-25 21:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079858;0.0079859;0.0079573;0.0079658;5011127.0;1714080420000;2024-04-25 21:27:00+00:00;2024-04-25 21:27:00+00:00;1.0;0.0;0.0079672;0.0079661;0.0;0.0
0.0079658;0.0079661;0.007951;0.0079588;2876914.0;1714080600000;2024-04-25 21:30:00+00:00;2024-04-25 21:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0079605;0.0080291;0.0079604;0.0080207;18986013.0;1714080780000;2024-04-25 21:33:00+00:00;2024-04-25 21:33:00+00:00;0.0;1.0;0.0;0.0;0.0080113;0.0079661
